iRecordIndex,sToolName,iToolNum,sEssaiPartNum,sMaterial,sHolderName,sToolGroupName,dOHL,sOHL_letter,iRF,dGageLength,sToolManufacturer,sToolEdp,sToolCribLoc,dDia,dLoc,iFlt,dCnrR,dAng,sThread
33,PG004000C,4000,800-501318-05A,PG,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
34,PG004000D,4000,800-501318-05A,PG,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
35,PG004000E,4000,800-501318-05A,PG,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
36,AL004001A,4001,800-501318-05A,AL,HSK63-ER32x100,BA,0.345,A,1,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
37,AL004001B,4001,800-501318-05A,AL,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
38,S1004001A,4001,800-501318-05A,S1,HSK63-ER32x100,BA,0.345,A,1,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
39,S1004001B,4001,800-501318-05A,S1,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
40,PG004001A,4001,800-501318-05A,PG,HSK63-ER32x100,BA,0.345,A,1,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
41,PG004001B,4001,800-501318-05A,PG,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
42,AL003002A,3002,800-501318-06A,AL,HSK63-ER16x100,BA,0.345,A,0,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
43,AL003002B,3002,800-501318-06A,AL,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
44,AL003002C,3002,800-501318-06A,AL,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
45,AL003002D,3002,800-501318-06A,AL,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
46,AL003002E,3002,800-501318-06A,AL,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
47,S1003002A,3002,800-501318-06A,S1,HSK63-ER16x100,BA,0.345,A,0,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
48,S1003002B,3002,800-501318-06A,S1,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
49,S1003002C,3002,800-501318-06A,S1,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
50,S1003002D,3002,800-501318-06A,S1,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
51,S1003002E,3002,800-501318-06A,S1,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
52,PG003002A,3002,800-501318-06A,PG,HSK63-ER16x100,BA,0.345,A,0,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
53,PG003002B,3002,800-501318-06A,PG,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
54,PG003002C,3002,800-501318-06A,PG,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
55,PG003002D,3002,800-501318-06A,PG,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
56,PG003002E,3002,800-501318-06A,PG,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
57,AL003003A,3003,800-501318-06A,AL,HSK63-ER32x100,BA,0.345,A,0,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
58,AL003003B,3003,800-501318-06A,AL,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
59,S1003003A,3003,800-501318-06A,S1,HSK63-ER32x100,BA,0.345,A,0,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
60,S1003003B,3003,800-501318-06A,S1,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
61,PG003003A,3003,800-501318-06A,PG,HSK63-ER32x100,BA,0.345,A,0,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
62,PG003003B,3003,800-501318-06A,PG,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
63,AL004002A,4002,800-501318-06A,AL,HSK63-ER16x100,BA,0.345,A,1,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
64,AL004002B,4002,800-501318-06A,AL,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
65,AL004002C,4002,800-501318-06A,AL,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
66,AL004002D,4002,800-501318-06A,AL,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
67,AL004002E,4002,800-501318-06A,AL,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
68,S1004002A,4002,800-501318-06A,S1,HSK63-ER16x100,BA,0.345,A,1,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
69,S1004002B,4002,800-501318-06A,S1,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
70,S1004002C,4002,800-501318-06A,S1,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
71,S1004002D,4002,800-501318-06A,S1,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
72,S1004002E,4002,800-501318-06A,S1,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
73,PG004002A,4002,800-501318-06A,PG,HSK63-ER16x100,BA,0.345,A,1,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
74,PG004002B,4002,800-501318-06A,PG,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
75,PG004002C,4002,800-501318-06A,PG,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
76,PG004002D,4002,800-501318-06A,PG,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
77,PG004002E,4002,800-501318-06A,PG,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
78,AL004003A,4003,800-501318-06A,AL,HSK63-ER32x100,BA,0.345,A,1,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
79,AL004003B,4003,800-501318-06A,AL,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
80,S1004003A,4003,800-501318-06A,S1,HSK63-ER32x100,BA,0.345,A,1,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
81,S1004003B,4003,800-501318-06A,S1,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
82,PG004003A,4003,800-501318-06A,PG,HSK63-ER32x100,BA,0.345,A,1,4.282,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
83,PG004003B,4003,800-501318-06A,PG,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,74003,A5,0.003,0.009,2,0.0015,0,
84,AL003004A,3004,800-501182,AL,HSK63-ER16x100,BA,0.34,A,0,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
85,AL003004B,3004,800-501182,AL,HSK63-ER16x100,BA,0.45,B,0,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
86,AL003004C,3004,800-501182,AL,HSK63-ER16x100,BA,0.56,C,0,4.497,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
87,AL003004D,3004,800-501182,AL,HSK63-ER16x100,BA,0.67,D,0,4.607,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
88,AL003004E,3004,800-501182,AL,HSK63-ER16x100,BA,0.78,E,0,4.717,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
89,S1003004A,3004,800-501182,S1,HSK63-ER16x100,BA,0.34,A,0,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
90,S1003004B,3004,800-501182,S1,HSK63-ER16x100,BA,0.45,B,0,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
91,S1003004C,3004,800-501182,S1,HSK63-ER16x100,BA,0.56,C,0,4.497,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
92,S1003004D,3004,800-501182,S1,HSK63-ER16x100,BA,0.67,D,0,4.607,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
93,S1003004E,3004,800-501182,S1,HSK63-ER16x100,BA,0.78,E,0,4.717,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
94,PG003004A,3004,800-501182,PG,HSK63-ER16x100,BA,0.34,A,0,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
95,PG003004B,3004,800-501182,PG,HSK63-ER16x100,BA,0.45,B,0,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
96,PG003004C,3004,800-501182,PG,HSK63-ER16x100,BA,0.56,C,0,4.497,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
97,PG003004D,3004,800-501182,PG,HSK63-ER16x100,BA,0.67,D,0,4.607,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
98,PG003004E,3004,800-501182,PG,HSK63-ER16x100,BA,0.78,E,0,4.717,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
99,AL003005A,3005,800-501182,AL,HSK63-ER32x100,BA,0.34,A,0,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
100,AL003005B,3005,800-501182,AL,HSK63-ER32x100,BA,0.45,B,0,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
101,S1003005A,3005,800-501182,S1,HSK63-ER32x100,BA,0.34,A,0,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
102,S1003005B,3005,800-501182,S1,HSK63-ER32x100,BA,0.45,B,0,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
103,PG003005A,3005,800-501182,PG,HSK63-ER32x100,BA,0.34,A,0,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
104,PG003005B,3005,800-501182,PG,HSK63-ER32x100,BA,0.45,B,0,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
105,AL004004A,4004,800-501182,AL,HSK63-ER16x100,BA,0.34,A,1,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
106,AL004004B,4004,800-501182,AL,HSK63-ER16x100,BA,0.45,B,1,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
107,AL004004C,4004,800-501182,AL,HSK63-ER16x100,BA,0.56,C,1,4.497,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
108,AL004004D,4004,800-501182,AL,HSK63-ER16x100,BA,0.67,D,1,4.607,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
109,AL004004E,4004,800-501182,AL,HSK63-ER16x100,BA,0.78,E,1,4.717,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
110,S1004004A,4004,800-501182,S1,HSK63-ER16x100,BA,0.34,A,1,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
111,S1004004B,4004,800-501182,S1,HSK63-ER16x100,BA,0.45,B,1,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
112,S1004004C,4004,800-501182,S1,HSK63-ER16x100,BA,0.56,C,1,4.497,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
113,S1004004D,4004,800-501182,S1,HSK63-ER16x100,BA,0.67,D,1,4.607,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
114,S1004004E,4004,800-501182,S1,HSK63-ER16x100,BA,0.78,E,1,4.717,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
115,PG004004A,4004,800-501182,PG,HSK63-ER16x100,BA,0.34,A,1,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
116,PG004004B,4004,800-501182,PG,HSK63-ER16x100,BA,0.45,B,1,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
117,PG004004C,4004,800-501182,PG,HSK63-ER16x100,BA,0.56,C,1,4.497,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
118,PG004004D,4004,800-501182,PG,HSK63-ER16x100,BA,0.67,D,1,4.607,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
119,PG004004E,4004,800-501182,PG,HSK63-ER16x100,BA,0.78,E,1,4.717,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
120,AL004005A,4005,800-501182,AL,HSK63-ER32x100,BA,0.34,A,1,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
121,AL004005B,4005,800-501182,AL,HSK63-ER32x100,BA,0.45,B,1,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
122,S1004005A,4005,800-501182,S1,HSK63-ER32x100,BA,0.34,A,1,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
123,S1004005B,4005,800-501182,S1,HSK63-ER32x100,BA,0.45,B,1,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
124,PG004005A,4005,800-501182,PG,HSK63-ER32x100,BA,0.34,A,1,4.277,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
125,PG004005B,4005,800-501182,PG,HSK63-ER32x100,BA,0.45,B,1,4.387,Harvey,74005,A5,0.005,0.015,2,0.0025,0,
126,AL003006A,3006,800-501182-01A,AL,HSK63-ER16x100,BA,0.34,A,0,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
127,AL003006B,3006,800-501182-01A,AL,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
128,AL003006C,3006,800-501182-01A,AL,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
129,AL003006D,3006,800-501182-01A,AL,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
130,AL003006E,3006,800-501182-01A,AL,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
131,S1003006A,3006,800-501182-01A,S1,HSK63-ER16x100,BA,0.34,A,0,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
132,S1003006B,3006,800-501182-01A,S1,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
133,S1003006C,3006,800-501182-01A,S1,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
134,S1003006D,3006,800-501182-01A,S1,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
135,S1003006E,3006,800-501182-01A,S1,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
136,PG003006A,3006,800-501182-01A,PG,HSK63-ER16x100,BA,0.34,A,0,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
137,PG003006B,3006,800-501182-01A,PG,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
138,PG003006C,3006,800-501182-01A,PG,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
139,PG003006D,3006,800-501182-01A,PG,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
140,PG003006E,3006,800-501182-01A,PG,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
141,AL003007A,3007,800-501182-01A,AL,HSK63-ER32x100,BA,0.34,A,0,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
142,AL003007B,3007,800-501182-01A,AL,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
143,S1003007A,3007,800-501182-01A,S1,HSK63-ER32x100,BA,0.34,A,0,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
144,S1003007B,3007,800-501182-01A,S1,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
145,PG003007A,3007,800-501182-01A,PG,HSK63-ER32x100,BA,0.34,A,0,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
146,PG003007B,3007,800-501182-01A,PG,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
147,AL004006A,4006,800-501182-01A,AL,HSK63-ER16x100,BA,0.34,A,1,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
148,AL004006B,4006,800-501182-01A,AL,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
149,AL004006C,4006,800-501182-01A,AL,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
150,AL004006D,4006,800-501182-01A,AL,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
151,AL004006E,4006,800-501182-01A,AL,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
152,S1004006A,4006,800-501182-01A,S1,HSK63-ER16x100,BA,0.34,A,1,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
153,S1004006B,4006,800-501182-01A,S1,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
154,S1004006C,4006,800-501182-01A,S1,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
155,S1004006D,4006,800-501182-01A,S1,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
156,S1004006E,4006,800-501182-01A,S1,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
157,PG004006A,4006,800-501182-01A,PG,HSK63-ER16x100,BA,0.34,A,1,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
158,PG004006B,4006,800-501182-01A,PG,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
159,PG004006C,4006,800-501182-01A,PG,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
160,PG004006D,4006,800-501182-01A,PG,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
161,PG004006E,4006,800-501182-01A,PG,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
162,AL004007A,4007,800-501182-01A,AL,HSK63-ER32x100,BA,0.34,A,1,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
163,AL004007B,4007,800-501182-01A,AL,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
164,S1004007A,4007,800-501182-01A,S1,HSK63-ER32x100,BA,0.34,A,1,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
165,S1004007B,4007,800-501182-01A,S1,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
166,PG004007A,4007,800-501182-01A,PG,HSK63-ER32x100,BA,0.34,A,1,4.277,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
167,PG004007B,4007,800-501182-01A,PG,HSK63-ER32x100,BA,0.45,B,1,4.387,HARVEY,24505,A5,0.005,0.007,2,0.0025,0,
168,AL003008A,3008,800-501659-03A,AL,HSK63-ER16x100,BA,0.33,A,0,4.267,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
169,AL003008B,3008,800-501659-03A,AL,HSK63-ER16x100,BA,0.44,B,0,4.377,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
170,AL003008C,3008,800-501659-03A,AL,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
171,AL003008D,3008,800-501659-03A,AL,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
172,AL003008E,3008,800-501659-03A,AL,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
173,S1003008A,3008,800-501659-03A,S1,HSK63-ER16x100,BA,0.33,A,0,4.267,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
174,S1003008B,3008,800-501659-03A,S1,HSK63-ER16x100,BA,0.44,B,0,4.377,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
175,S1003008C,3008,800-501659-03A,S1,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
176,S1003008D,3008,800-501659-03A,S1,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
177,S1003008E,3008,800-501659-03A,S1,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
178,PG003008A,3008,800-501659-03A,PG,HSK63-ER16x100,BA,0.33,A,0,4.267,HARVEY,24506,A5,0.006,0.009,2,0.003,0,
